STOP ECE			
H	V	min	max
45	15	0,3	17
0	15	0,3	17
-45	15	0,3	17
-5	10	12	17
5	10	12	17
20	5	6	17
10	5	12	17
0	5	42	17
-10	5	12	17
-20	5	6	17
-45	0	0,3	17
-10	0	21	17
-5	0	54	17
0	0	60	17
5	0	54	17
10	0	21	17
45	0	0,3	17
20	-5	6	17
10	-5	12	17
0	-5	42	17
-10	-5	12	17
-20	-5	6	17
-5	-10	12	17
5	-10	12	17
45	-15	0,3	17
0	-15	0,3	17
-45	-15	0,3	17
