TURN ECE LH			
H	V	min	max
80	15	0,3	350
0	15	0,3	350
-45	15	0,3	350
-5	10	10	350
5	10	10	350
20	5	5	350
10	5	10	350
0	5	35	350
-10	5	10	350
-20	5	5	350
-45	0	0,3	350
-10	0	17,5	350
-5	0	45	350
0	0	50	350
5	0	45	350
10	0	17,5	350
80	0	0,3	350
20	-5	5	350
10	-5	10	350
0	-5	35	350
-10	-5	10	350
-20	-5	5	350
-5	-10	10	350
5	-10	10	350
80	-15	0,3	350
0	-15	0,3	350
-45	-15	0,3	350
