TAIL ECE LH			
H	V	min	max
80	15	0,05	17
0	15	0,05	17
-45	15	0,05	17
-5	10	0,8	17
5	10	0,8	17
20	5	0,4	17
10	5	0,8	17
0	5	2,8	17
-10	5	0,8	17
-20	5	0,4	17
-45	0	0,05	17
-10	0	1,4	17
-5	0	3,6	17
0	0	4	17
5	0	3,6	17
10	0	1,4	17
80	0	0,05	17
20	-5	0,4	17
10	-5	0,8	17
0	-5	2,8	17
-10	-5	0,8	17
-20	-5	0,4	17
-5	-10	0,8	17
5	-10	0,8	17
80	-15	0,05	17
0	-15	0,05	17
-45	-15	0,05	17
